portfolio_id,security_id,transaction_date,transaction_type,quantity,price_per_share
1,1,2024-01-08,BUY,268,185.56
1,2,2024-01-08,BUY,152,374.69
1,3,2024-01-08,BUY,855,52.253
1,4,2024-01-08,BUY,264,172.02
1,5,2024-01-08,BUY,145,388.86
1,6,2024-01-08,BUY,77,626.03
1,7,2024-01-08,BUY,293,149.1
1,8,2024-01-08,BUY,995,52.75
1,9,2024-01-08,BUY,513,100.92
1,10,2024-01-08,BUY,168,292.25
1,11,2024-01-08,BUY,115,408.29
1,12,2024-01-08,BUY,138,358.66
1,13,2024-01-08,BUY,708,62.92
1,14,2024-01-08,BUY,385,133.17
1,15,2024-01-08,BUY,743,60.11
1,6,2024-01-09,SELL,33,625.48
1,8,2024-01-17,BUY,530,53.69
1,13,2024-01-24,BUY,221,57.01
1,8,2024-01-31,SELL,297,55.0833
1,8,2024-02-07,BUY,433,56.46
1,5,2024-02-14,BUY,33,378.04
1,9,2024-02-22,BUY,207,104.76
1,14,2024-02-29,BUY,130,133.27
1,9,2024-03-07,SELL,244,107.37
1,12,2024-03-14,SELL,48,491.83
1,1,2024-03-21,BUY,94,171.37
1,2,2024-03-28,SELL,47,420.72
1,8,2024-04-05,BUY,414,59.85
1,15,2024-04-12,BUY,173,58.28
1,1,2024-04-19,SELL,162,165.0
1,14,2024-04-26,SELL,146,104.06
1,5,2024-05-03,SELL,73,438.18
1,8,2024-05-10,BUY,472,60.48
1,15,2024-05-17,BUY,291,63.03
1,1,2024-05-24,BUY,97,189.98
1,13,2024-06-03,BUY,381,77.71
1,1,2024-06-10,SELL,128,193.12
1,6,2024-06-17,BUY,14,885.01
1,8,2024-06-25,SELL,544,67.42
1,7,2024-07-02,SELL,108,200.0
1,3,2024-07-10,SELL,376,134.91
1,13,2024-07-17,BUY,295,70.9
1,13,2024-07-24,BUY,171,75.41
1,12,2024-07-31,BUY,46,474.83
1,13,2024-08-07,SELL,419,77.56
1,10,2024-08-14,BUY,24,337.59
1,10,2024-08-21,BUY,71,342.97
1,1,2024-08-28,BUY,95,226.49
1,12,2024-09-05,BUY,21,516.86
1,2,2024-09-12,SELL,33,427.0
1,2,2024-09-19,SELL,30,438.69
1,5,2024-09-26,SELL,19,496.92
1,6,2024-10-03,BUY,29,885.55
1,12,2024-10-10,BUY,26,583.83
1,14,2024-10-17,BUY,222,122.7
1,9,2024-10-24,BUY,169,119.59
1,14,2024-10-31,SELL,100,112.94
1,2,2024-11-07,BUY,54,425.43
1,12,2024-11-14,BUY,44,577.16
1,13,2024-11-21,BUY,188,77.36
1,9,2024-11-29,BUY,159,117.96
1,1,2024-12-06,SELL,41,242.84
1,3,2024-12-13,SELL,24,134.25
1,1,2024-12-20,SELL,31,254.49
1,6,2024-12-30,SELL,4,773.84
1,2,2025-01-07,BUY,50,422.37
1,2,2025-01-15,BUY,30,426.31
1,13,2025-01-23,BUY,161,69.23
1,3,2025-01-30,BUY,105,124.65
1,3,2025-02-06,BUY,67,128.68
1,13,2025-02-13,BUY,133,68.6
1,6,2025-02-21,BUY,8,873.68
1,6,2025-02-28,SELL,11,920.63
1,1,2025-03-07,BUY,33,239.07
1,6,2025-03-14,SELL,31,813.48
1,1,2025-03-21,BUY,51,218.27
1,10,2025-03-28,SELL,99,329.69
1,15,2025-04-04,BUY,161,69.93
1,6,2025-04-11,BUY,17,732.41
1,5,2025-04-21,SELL,37,501.36
1,12,2025-04-28,BUY,25,549.74
1,4,2025-05-05,BUY,46,252.56
1,6,2025-05-12,SELL,11,755.57
1,9,2025-05-19,BUY,104,106.47
1,12,2025-05-27,BUY,14,642.32
1,10,2025-06-03,BUY,21,349.4
1,2,2025-06-10,BUY,13,470.92
1,9,2025-06-17,SELL,42,114.0
1,7,2025-06-25,BUY,27,211.99
1,14,2025-07-02,SELL,202,108.31
1,8,2025-07-10,BUY,93,94.86
1,8,2025-07-17,BUY,76,95.09
1,14,2025-07-24,SELL,101,109.72
1,13,2025-07-31,SELL,48,71.06
1,2,2025-08-07,BUY,16,520.84
1,8,2025-08-14,SELL,165,100.85
1,1,2025-08-21,BUY,44,224.9
1,6,2025-08-28,BUY,11,731.96
1,2,2025-09-05,BUY,13,495.0
1,10,2025-09-12,SELL,27,431.52
1,14,2025-09-19,BUY,68,113.51
1,6,2025-09-26,BUY,8,724.54
1,11,2025-10-03,SELL,12,466.73
1,15,2025-10-10,BUY,94,67.04
1,14,2025-10-17,BUY,41,124.08
1,10,2025-10-24,BUY,8,522.73
1,8,2025-10-31,BUY,34,101.18
1,10,2025-11-07,BUY,5,563.1
1,9,2025-11-14,BUY,20,119.29
1,12,2025-11-21,BUY,3,594.25
